"filename", "language", "HTML", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "YAML", "SCSS", "comment", "blank", "total"
"c:\Users\yaman\OneDrive\Masaüstü\final-project\.pnpm\lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 2218, 0, 0, 574, 2792
"c:\Users\yaman\OneDrive\Masaüstü\final-project\README.md", "Markdown", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 11, 51
"c:\Users\yaman\OneDrive\Masaüstü\final-project\eslint.config.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\yaman\OneDrive\Masaüstü\final-project\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\yaman\OneDrive\Masaüstü\final-project\package.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\yaman\OneDrive\Masaüstü\final-project\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 2564, 0, 0, 678, 3242
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\Layout\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 7, 133
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\Layout\MobilNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 8, 141
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\Layout\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 1, 13, 79
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\Root.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 9, 49
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Accordions\Accordions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 29
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Accordions\ProductAccordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 9, 177
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\Addresses\Addresses.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 452, 0, 0, 0, 14, 466
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\AuthComponents\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 7, 135
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\AuthComponents\SingUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 9, 128
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\AuthComponents\upadatePassword .tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 13, 193
