Date : 2024-12-13 11:35:04
Directory : c:\Users\yaman\OneDrive\Masaüstü\final-project
Total : 105 files,  14963 codes, 31 comments, 1948 blanks, all 16942 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         57 |      7,569 |         16 |        434 |      8,019 |
| YAML               |          2 |      4,782 |          0 |      1,252 |      6,034 |
| TypeScript         |         23 |      1,730 |          6 |        145 |      1,881 |
| SCSS               |         13 |        701 |          8 |         98 |        807 |
| JSON               |          5 |         64 |          0 |          3 |         67 |
| JavaScript         |          2 |         40 |          1 |          3 |         44 |
| Markdown           |          1 |         40 |          0 |         11 |         51 |
| JSON with Comments |          1 |         24 |          0 |          1 |         25 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        105 |     14,963 |         31 |      1,948 |     16,942 |
| . (Files)                                                                                                    |         13 |      2,760 |          2 |        700 |      3,462 |
| .pnpm                                                                                                        |          1 |      2,218 |          0 |        574 |      2,792 |
| src                                                                                                          |         91 |      9,985 |         29 |        674 |     10,688 |
| src (Files)                                                                                                  |          3 |        128 |          2 |         16 |        146 |
| src\Layout                                                                                                   |          3 |        324 |          1 |         28 |        353 |
| src\components                                                                                               |         47 |      5,887 |         11 |        327 |      6,225 |
| src\components\Accordions                                                                                    |          2 |        195 |          0 |         11 |        206 |
| src\components\Account                                                                                       |         11 |      1,561 |          1 |         98 |      1,660 |
| src\components\Account\Addresses                                                                             |          1 |        452 |          0 |         14 |        466 |
| src\components\Account\AuthComponents                                                                        |          3 |        427 |          0 |         29 |        456 |
| src\components\Account\Comment                                                                               |          1 |         55 |          0 |          4 |         59 |
| src\components\Account\Informations                                                                          |          3 |        290 |          1 |         29 |        320 |
| src\components\Account\Olderders                                                                             |          1 |        201 |          0 |         10 |        211 |
| src\components\Account\Orders                                                                                |          2 |        136 |          0 |         12 |        148 |
| src\components\Account\Orders (Files)                                                                        |          1 |         73 |          0 |          8 |         81 |
| src\components\Account\Orders\OrdersComponents                                                               |          1 |         63 |          0 |          4 |         67 |
| src\components\Aroma                                                                                         |          1 |         21 |          0 |          6 |         27 |
| src\components\Bestseller                                                                                    |          3 |        211 |          0 |         22 |        233 |
| src\components\Comments                                                                                      |          2 |        110 |          0 |         12 |        122 |
| src\components\DrawerList                                                                                    |          1 |         57 |          0 |          4 |         61 |
| src\components\FooterPages                                                                                   |          3 |        235 |          0 |         18 |        253 |
| src\components\HomePage                                                                                      |          1 |         97 |          0 |          3 |        100 |
| src\components\MyCart                                                                                        |          2 |        234 |          0 |          7 |        241 |
| src\components\Navbar                                                                                        |          6 |        662 |          2 |         40 |        704 |
| src\components\ProductDetails                                                                                |          2 |        534 |          4 |         19 |        557 |
| src\components\Protein                                                                                       |          1 |        101 |          0 |          5 |        106 |
| src\components\UseBlaze                                                                                      |          2 |        105 |          1 |          9 |        115 |
| src\components\payment                                                                                       |          7 |      1,402 |          2 |         41 |      1,445 |
| src\components\secondNavbar                                                                                  |          3 |        362 |          1 |         32 |        395 |
| src\data                                                                                                     |          1 |        645 |          0 |          3 |        648 |
| src\hooks                                                                                                    |          3 |        181 |          0 |         28 |        209 |
| src\pages                                                                                                    |          8 |      1,390 |          4 |         86 |      1,480 |
| src\services                                                                                                 |         11 |        619 |          3 |         80 |        702 |
| src\store                                                                                                    |          1 |         30 |          0 |          6 |         36 |
| src\styles                                                                                                   |         13 |        701 |          8 |         98 |        807 |
| src\styles (Files)                                                                                           |          1 |         22 |          0 |          8 |         30 |
| src\styles\AboutUs                                                                                           |          1 |          7 |          0 |          1 |          8 |
| src\styles\Accordion                                                                                         |          1 |         13 |          0 |          2 |         15 |
| src\styles\Account                                                                                           |          2 |         23 |          0 |          4 |         27 |
| src\styles\Foother                                                                                           |          1 |         45 |          2 |          6 |         53 |
| src\styles\HomeStyles                                                                                        |          2 |         81 |          0 |          6 |         87 |
| src\styles\Navbar                                                                                            |          1 |        181 |          4 |         30 |        215 |
| src\styles\PaymentPage                                                                                       |          1 |         23 |          0 |          3 |         26 |
| src\styles\Products                                                                                          |          1 |        113 |          0 |         15 |        128 |
| src\styles\ProductsDetailts                                                                                  |          1 |        193 |          2 |         22 |        217 |
| src\styles\Slider                                                                                            |          1 |          0 |          0 |          1 |          1 |
| src\theme                                                                                                    |          1 |         80 |          0 |          2 |         82 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                     | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\yaman\OneDrive\Masaüstü\final-project\.pnpm\lock.yaml                                               | YAML               |      2,218 |          0 |        574 |      2,792 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\README.md                                                     | Markdown           |         40 |          0 |         11 |         51 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\eslint.config.js                                              | JavaScript         |         27 |          0 |          2 |         29 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\index.html                                                    | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\package.json                                                  | JSON               |         43 |          0 |          1 |         44 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\pnpm-lock.yaml                                                | YAML               |      2,564 |          0 |        678 |      3,242 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\Layout\Footer.tsx                                         | TypeScript JSX     |        126 |          0 |          7 |        133 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\Layout\MobilNavbar.tsx                                    | TypeScript JSX     |        133 |          0 |          8 |        141 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\Layout\Navbar.tsx                                         | TypeScript JSX     |         65 |          1 |         13 |         79 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\Root.tsx                                                  | TypeScript JSX     |         40 |          0 |          9 |         49 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Accordions\Accordions.tsx                      | TypeScript JSX     |         27 |          0 |          2 |         29 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Accordions\ProductAccordion.tsx                | TypeScript JSX     |        168 |          0 |          9 |        177 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\Addresses\Addresses.tsx                | TypeScript JSX     |        452 |          0 |         14 |        466 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\AuthComponents\Login.tsx               | TypeScript JSX     |        128 |          0 |          7 |        135 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\AuthComponents\SingUp.tsx              | TypeScript JSX     |        119 |          0 |          9 |        128 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\AuthComponents\upadatePassword .tsx    | TypeScript JSX     |        180 |          0 |         13 |        193 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\Comment\Comment.tsx                    | TypeScript JSX     |         55 |          0 |          4 |         59 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\Informations\MyAccount.ts              | TypeScript         |        122 |          0 |         17 |        139 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\Informations\information.tsx           | TypeScript JSX     |        133 |          0 |          7 |        140 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\Informations\refresh.ts                | TypeScript         |         35 |          1 |          5 |         41 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\Olderders\Olderdest.tsx                | TypeScript JSX     |        201 |          0 |         10 |        211 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\Orders\Orders.tsx                      | TypeScript JSX     |         73 |          0 |          8 |         81 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Account\Orders\OrdersComponents\OrdersComp.tsx | TypeScript JSX     |         63 |          0 |          4 |         67 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Aroma\Aroma.tsx                                | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Bestseller\Bestseller.tsx                      | TypeScript JSX     |         46 |          0 |         10 |         56 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Bestseller\LastWiew.tsx                        | TypeScript JSX     |         57 |          0 |          7 |         64 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Bestseller\Products.tsx                        | TypeScript JSX     |        108 |          0 |          5 |        113 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Comments\comment.tsx                           | TypeScript JSX     |         53 |          0 |          8 |         61 |
| c:\Users\yaman\OneDrive\Masaüstü\final-project\src\components\Comments\homeComments.tsx                      | TypeScript JSX     |         57 |          0 |          4 |         61 |
